"","word","freq"
"workclimbrepeat","workclimbrepeat",17
"bofo1k","bofo1k",16
"bestofnorthwest","bestofnorthwest",16
"goneoutdoors","goneoutdoors",16
"sevenwondersoforegon","sevenwondersoforegon",16
"takemoreadventures","takemoreadventures",16
"trails","trails",16
"rsaoutdoors","rsaoutdoors",16
"travelmore","travelmore",16
"hiker","hiker",16
"grippedmagazine","grippedmagazine",16
"bouldering","bouldering",16
"folkgreen","folkgreen",16
"mothernature","mothernature",16
"canyon","canyon",16
"portrait","portrait",16
"visualscollective","visualscollective",16
"bendweddingphotographer","bendweddingphotographer",16
"gooutside","gooutside",16
"rockclimber","rockclimber",16
"awesomeglobe","awesomeglobe",16
"exploringtheglobe","exploringtheglobe",16
"puppy","puppy",16
"wanderfolk","wanderfolk",16
"specialshots","specialshots",16
"nofilter","nofilter",16
"stars","stars",16
"smithrockascent","smithrockascent",16
"igpodium","igpodium",16
"pnwonderdogs","pnwonderdogs",16
"arizonaweddingphotographer","arizonaweddingphotographer",16
"dogoftheday","dogoftheday",16
"35mm","35mm",16
"postthepeople","postthepeople",16
"radcouples","radcouples",16
"climbergirl","climbergirl",16
"vanlifediaries","vanlifediaries",16
"nightphotography","nightphotography",16
"thisworldexists","thisworldexists",16
"hikelife","hikelife",15
"sunsetvision","sunsetvision",15
"upperleft","upperleft",15
"simplyadventure","simplyadventure",15
"nrthwst","nrthwst",15
"wildernessnation","wildernessnation",15
"sky","sky",15
"pnwbyphone","pnwbyphone",15
"campingwithdogs","campingwithdogs",15
"homeiswhereyouparkit","homeiswhereyouparkit",15
"amazinglongexpo","amazinglongexpo",15
"pnwhiking","pnwhiking",15
"instago","instago",15
"getoutthere","getoutthere",15
"gramslayers","gramslayers",15
"instapassport","instapassport",15
"view","view",15
"awesupply","awesupply",15
"adventureawaits","adventureawaits",15
"naturewizards","naturewizards",15
"findyourpark","findyourpark",15
"amongthewild","amongthewild",15
"awesomephotographers","awesomephotographers",15
"destinationwedding","destinationwedding",15
"bestnatureshot","bestnatureshot",15
"blackdiamond","blackdiamond",15
"art","art",15
"smithrock50k","smithrock50k",15
"makeportraits","makeportraits",15
"nikonnofilter","nikonnofilter",15
"doglover","doglover",15
"traveltheworld","traveltheworld",15
"wedventure","wedventure",15
"thisisbend","thisisbend",14
"ilovemydog","ilovemydog",14
